Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.4.2,"Read grade-level prose and poetry orally with accuracy, appropriate rate, expression, intonation, and phrasing on successive readings.",,
