Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,11,Geometric Measurement & Dimension,HSG.GMD.A.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone.",,,,
Iowa Core Standards: Math,Math,12,Geometric Measurement & Dimension,HSG.GMD.A.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone.",,,,
Iowa Core Standards: Math,Math,9,Geometric Measurement & Dimension,HSG.GMD.A.2,(+) Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.,,,,
Iowa Core Standards: Math,Math,10,Geometric Measurement & Dimension,HSG.GMD.A.2,(+) Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.,,,,
Iowa Core Standards: Math,Math,11,Geometric Measurement & Dimension,HSG.GMD.A.2,(+) Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.,,,,
Iowa Core Standards: Math,Math,12,Geometric Measurement & Dimension,HSG.GMD.A.2,(+) Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.,,,,
Iowa Core Standards: Math,Math,9,Geometric Measurement & Dimension,HSG.GMD.A.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.",,,,
Iowa Core Standards: Math,Math,10,Geometric Measurement & Dimension,HSG.GMD.A.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.",,,,
Iowa Core Standards: Math,Math,11,Geometric Measurement & Dimension,HSG.GMD.A.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.",,,,
Iowa Core Standards: Math,Math,12,Geometric Measurement & Dimension,HSG.GMD.A.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.",,,,
Iowa Core Standards: Math,Math,9,Geometric Measurement & Dimension,HSG.GMD.B,Visualize relationships between two-dimensional and three-dimensional objects,,,,
Iowa Core Standards: Math,Math,10,Geometric Measurement & Dimension,HSG.GMD.B,Visualize relationships between two-dimensional and three-dimensional objects,,,,
Iowa Core Standards: Math,Math,11,Geometric Measurement & Dimension,HSG.GMD.B,Visualize relationships between two-dimensional and three-dimensional objects,,,,
Iowa Core Standards: Math,Math,12,Geometric Measurement & Dimension,HSG.GMD.B,Visualize relationships between two-dimensional and three-dimensional objects,,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.7,Plot points in three-dimensions.,,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.7,Plot points in three-dimensions.,,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.7,Plot points in three-dimensions.,,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.7,Plot points in three-dimensions.,,,,
Iowa Core Standards: Math,Math,9,Geometric Measurement & Dimension,HSG.GMD.B.4,"Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.",,,,
Iowa Core Standards: Math,Math,10,Geometric Measurement & Dimension,HSG.GMD.B.4,"Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.",,,,
Iowa Core Standards: Math,Math,11,Geometric Measurement & Dimension,HSG.GMD.B.4,"Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.",,,,
Iowa Core Standards: Math,Math,12,Geometric Measurement & Dimension,HSG.GMD.B.4,"Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.",,,,
Iowa Core Standards: Math,Math,9,Modeling with Geometry,HSG.MG.A,Apply geometric concepts in modeling situations,,,,
Iowa Core Standards: Math,Math,10,Modeling with Geometry,HSG.MG.A,Apply geometric concepts in modeling situations,,,,
Iowa Core Standards: Math,Math,11,Modeling with Geometry,HSG.MG.A,Apply geometric concepts in modeling situations,,,,
Iowa Core Standards: Math,Math,12,Modeling with Geometry,HSG.MG.A,Apply geometric concepts in modeling situations,,,,
Iowa Core Standards: Math,Math,9,Modeling with Geometry,HSG.MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).",,,,
Iowa Core Standards: Math,Math,10,Modeling with Geometry,HSG.MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).",,,,
Iowa Core Standards: Math,Math,11,Modeling with Geometry,HSG.MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).",,,,
Iowa Core Standards: Math,Math,12,Modeling with Geometry,HSG.MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).",,,,
Iowa Core Standards: Math,Math,9,Modeling with Geometry,HSG.MG.A.2,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).",,,,
Iowa Core Standards: Math,Math,10,Modeling with Geometry,HSG.MG.A.2,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).",,,,
Iowa Core Standards: Math,Math,11,Modeling with Geometry,HSG.MG.A.2,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).",,,,
Iowa Core Standards: Math,Math,12,Modeling with Geometry,HSG.MG.A.2,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).",,,,
Iowa Core Standards: Math,Math,9,Modeling with Geometry,HSG.MG.A.3,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).",,,,
Iowa Core Standards: Math,Math,10,Modeling with Geometry,HSG.MG.A.3,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).",,,,
Iowa Core Standards: Math,Math,11,Modeling with Geometry,HSG.MG.A.3,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).",,,,
Iowa Core Standards: Math,Math,12,Modeling with Geometry,HSG.MG.A.3,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).",,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.8,"Understand, analyze, evaluate, and apply vertex-edge graphs to model and solve problems related to paths, circuits, networks, and relationships among a finite number of elements, in real-world and abstract settings.",,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.8,"Understand, analyze, evaluate, and apply vertex-edge graphs to model and solve problems related to paths, circuits, networks, and relationships among a finite number of elements, in real-world and abstract settings.",,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.8,"Understand, analyze, evaluate, and apply vertex-edge graphs to model and solve problems related to paths, circuits, networks, and relationships among a finite number of elements, in real-world and abstract settings.",,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.8,"Understand, analyze, evaluate, and apply vertex-edge graphs to model and solve problems related to paths, circuits, networks, and relationships among a finite number of elements, in real-world and abstract settings.",,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.9,"Model and solve problems using at least two of the following fundamental graph topics and models: Euler paths and circuits, Hamilton paths and circuits, the traveling salesman problem (TSP), minimum spanning trees, critical paths, vertex coloring.★",,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.9,"Model and solve problems using at least two of the following fundamental graph topics and models: Euler paths and circuits, Hamilton paths and circuits, the traveling salesman problem (TSP), minimum spanning trees, critical paths, vertex coloring.★",,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.9,"Model and solve problems using at least two of the following fundamental graph topics and models: Euler paths and circuits, Hamilton paths and circuits, the traveling salesman problem (TSP), minimum spanning trees, critical paths, vertex coloring.★",,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.9,"Model and solve problems using at least two of the following fundamental graph topics and models: Euler paths and circuits, Hamilton paths and circuits, the traveling salesman problem (TSP), minimum spanning trees, critical paths, vertex coloring.★",,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.10,Compare and contrast vertex-edge graph topics and models in terms of:<ul><li>properties</li><li>algorithms</li><li>optimization</li><li>types of problems that can be solved</li></ul>,,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.10,Compare and contrast vertex-edge graph topics and models in terms of:<ul><li>properties</li><li>algorithms</li><li>optimization</li><li>types of problems that can be solved</li></ul>,,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.10,Compare and contrast vertex-edge graph topics and models in terms of:<ul><li>properties</li><li>algorithms</li><li>optimization</li><li>types of problems that can be solved</li></ul>,,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.10,Compare and contrast vertex-edge graph topics and models in terms of:<ul><li>properties</li><li>algorithms</li><li>optimization</li><li>types of problems that can be solved</li></ul>,,,,
Iowa Core Standards: Math,Math,9,Interpreting Categorical & Quantitative Data,HSS.ID.A,"Summarize, represent, and interpret data on a single count or measurement variable",,,,
Iowa Core Standards: Math,Math,10,Interpreting Categorical & Quantitative Data,HSS.ID.A,"Summarize, represent, and interpret data on a single count or measurement variable",,,,
Iowa Core Standards: Math,Math,11,Interpreting Categorical & Quantitative Data,HSS.ID.A,"Summarize, represent, and interpret data on a single count or measurement variable",,,,
Iowa Core Standards: Math,Math,12,Interpreting Categorical & Quantitative Data,HSS.ID.A,"Summarize, represent, and interpret data on a single count or measurement variable",,,,
Iowa Core Standards: Math,Math,9,Interpreting Categorical & Quantitative Data,HSS.ID.A.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots).",,,,
Iowa Core Standards: Math,Math,10,Interpreting Categorical & Quantitative Data,HSS.ID.A.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots).",,,,
Iowa Core Standards: Math,Math,11,Interpreting Categorical & Quantitative Data,HSS.ID.A.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots).",,,,
Iowa Core Standards: Math,Math,12,Interpreting Categorical & Quantitative Data,HSS.ID.A.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots).",,,,
Iowa Core Standards: Math,Math,9,Interpreting Categorical & Quantitative Data,HSS.ID.A.2,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Categorical & Quantitative Data,HSS.ID.A.2,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Categorical & Quantitative Data,HSS.ID.A.2,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.",,,,
